Lawyer ID,Rating,Specialization,Experience Date,Location,Budget
1029,2.56,Corporate Law,2023,Chanagancherry Munsiff court,1743.0
1039,2.75,Family Law,2023,Kanjirapally Court,1446.0
1050,4.27,Criminal Law,2023,High Court,1329.0
1078,3.85,Corporate Law,2023,Chanagancherry Munsiff court,1077.0
1089,2.43,Family Law,2023,Kottayam Distict Court,1942.0
1097,4.69,Corporate Law,2023,Kanjirapally Court,1046.0
1111,3.19,Immigration Law,2023,Kanjirapally Munsiff court,1256.0
1121,4.05,Personal Injury,2023,Kanjirapally Court,1294.0
1122,1.4,Corporate Law,2023,Chagancherry Court,1254.0
1126,1.89,Immigration Law,2023,Chanagancherry Munsiff court,1927.0
1127,3.8,Criminal Law,2023,Chagancherry Court,1537.0
1128,1.68,Criminal Law,2023,Chanagancherry Munsiff court,1892.0
1137,1.87,Family Law,2023,Kottayam Distict Court,1055.0
1146,3.47,Corporate Law,2023,Chagancherry Court,1581.0
1147,1.67,Immigration Law,2023,High Court,1817.0
1148,2.86,Criminal Law,2023,Chanagancherry Munsiff court,1536.0
1150,4.09,Immigration Law,2023,Kottayam Distict Court,1258.0
1151,4.95,Immigration Law,2023,Kanjirapally Court,1166.0
1154,3.19,Family Law,2023,Kanjirapally Court,1255.0
1161,3.13,Corporate Law,2023,Kanjirapally Munsiff court,1027.0
1163,4.8,Personal Injury,2023,Kanjirapally Court,1669.0
1173,2.8,Family Law,2023,Kanjirapally Munsiff court,1127.0
1177,1.0,Corporate Law,2023,Chanagancherry Munsiff court,1976.0
1189,2.16,Criminal Law,2023,High Court,1969.0
1193,1.09,Family Law,2023,Kanjirapally Court,1117.0
1194,1.8,Criminal Law,2023,High Court,1940.0
1196,4.87,Family Law,2023,Chanagancherry Munsiff court,1933.0
1203,3.84,Family Law,2023,Kanjirapally Court,1823.0
1211,2.52,Immigration Law,2023,Kanjirapally Munsiff court,1444.0
1235,4.25,Criminal Law,2023,Kanjirapally Munsiff court,1034.0
1261,2.87,Personal Injury,2023,Kottayam Distict Court,1556.0
1284,2.68,Criminal Law,2023,Kanjirapally Court,1654.0
1286,2.09,Corporate Law,2023,Kanjirapally Court,1554.0
1291,3.18,Criminal Law,2023,High Court,1918.0
1293,3.4,Corporate Law,2023,High Court,1867.0
1302,3.75,Criminal Law,2023,High Court,1839.0
1304,4.09,Immigration Law,2023,Kanjirapally Munsiff court,1515.0
1310,2.27,Personal Injury,2023,Chagancherry Court,1279.0
1311,3.15,Personal Injury,2023,Kanjirapally Munsiff court,1402.0
1326,1.67,Corporate Law,2023,Chanagancherry Munsiff court,1919.0
1331,3.13,Corporate Law,2023,Kanjirapally Munsiff court,1456.0
1338,3.6,Family Law,2023,Chanagancherry Munsiff court,1640.0
1341,2.48,Corporate Law,2023,Kottayam Distict Court,1961.0
1349,3.72,Corporate Law,2023,High Court,1167.0
1351,2.58,Personal Injury,2023,High Court,1688.0
1375,1.22,Corporate Law,2023,High Court,1886.0
1379,1.44,Personal Injury,2023,Kanjirapally Court,1545.0
1383,2.76,Family Law,2023,Chanagancherry Munsiff court,1047.0
1385,1.52,Personal Injury,2023,High Court,1345.0
1393,2.1,Criminal Law,2023,Kanjirapally Munsiff court,1030.0
1404,2.96,Personal Injury,2023,Chagancherry Court,1573.0
1414,3.73,Immigration Law,2023,Kanjirapally Munsiff court,1598.0
1416,2.31,Family Law,2023,Chanagancherry Munsiff court,1361.0
1422,3.52,Family Law,2023,Chagancherry Court,1600.0
1423,3.77,Immigration Law,2023,Kanjirapally Court,1322.0
1428,3.26,Personal Injury,2023,Kanjirapally Court,1589.0
1448,1.32,Personal Injury,2023,High Court,1774.0
1452,1.31,Family Law,2023,High Court,1592.0
1469,2.23,Immigration Law,2023,Kanjirapally Court,1223.0
1473,3.27,Corporate Law,2023,High Court,1280.0
1474,3.35,Family Law,2023,High Court,1154.0
1475,1.74,Immigration Law,2023,Kanjirapally Court,1713.0
1484,1.2,Personal Injury,2023,Kottayam Distict Court,1084.0
1496,1.67,Immigration Law,2023,Chagancherry Court,1494.0
1499,2.41,Family Law,2023,Kanjirapally Court,1030.0
1502,3.48,Personal Injury,2023,Chanagancherry Munsiff court,1936.0
1519,4.67,Criminal Law,2023,High Court,1377.0
1527,2.75,Corporate Law,2023,High Court,1938.0
1538,1.84,Criminal Law,2023,Chagancherry Court,1321.0
1542,2.98,Criminal Law,2023,Chanagancherry Munsiff court,1178.0
1556,1.48,Immigration Law,2023,Chanagancherry Munsiff court,1099.0
1580,2.69,Corporate Law,2023,Kanjirapally Court,1855.0
1626,3.54,Immigration Law,2023,Chagancherry Court,1154.0
1639,1.02,Corporate Law,2023,Chanagancherry Munsiff court,1245.0
1646,1.8,Personal Injury,2023,Kanjirapally Court,1793.0
1652,2.11,Immigration Law,2023,Kanjirapally Court,1824.0
1654,2.32,Corporate Law,2023,Kanjirapally Munsiff court,1153.0
1658,3.74,Corporate Law,2023,Kottayam Distict Court,1635.0
1662,4.53,Family Law,2023,Kottayam Distict Court,1541.0
1684,1.48,Corporate Law,2023,High Court,1920.0
1692,3.43,Criminal Law,2023,Kanjirapally Court,1332.0
1698,4.65,Immigration Law,2023,Chagancherry Court,1541.0
1703,3.18,Immigration Law,2023,High Court,1395.0
1704,1.46,Personal Injury,2023,Kanjirapally Munsiff court,1032.0
1715,4.98,Family Law,2023,Chagancherry Court,1406.0
1718,4.17,Criminal Law,2023,Chagancherry Court,1299.0
1726,4.78,Personal Injury,2023,Chagancherry Court,1171.0
1727,1.89,Criminal Law,2023,High Court,1797.0
1732,2.56,Family Law,2023,Kanjirapally Court,1912.0
1736,1.88,Immigration Law,2023,Kanjirapally Court,1622.0
1737,1.84,Immigration Law,2023,Chagancherry Court,1441.0
1738,2.81,Criminal Law,2023,Chanagancherry Munsiff court,1697.0
1743,2.4,Immigration Law,2023,Kottayam Distict Court,1889.0
1748,1.6,Immigration Law,2023,Chagancherry Court,1852.0
1792,3.77,Criminal Law,2023,Kanjirapally Munsiff court,1528.0
1794,1.97,Immigration Law,2023,High Court,1857.0
1796,1.19,Immigration Law,2023,Kanjirapally Court,1483.0
1801,4.84,Corporate Law,2023,High Court,1340.0
1806,2.42,Immigration Law,2023,Chanagancherry Munsiff court,1284.0
1807,3.97,Corporate Law,2023,Kanjirapally Court,1628.0
1814,4.22,Criminal Law,2023,Kanjirapally Munsiff court,1006.0
1823,2.01,Immigration Law,2023,Chagancherry Court,1840.0
1825,1.66,Immigration Law,2023,High Court,1589.0
1827,4.53,Immigration Law,2023,High Court,1740.0
1830,2.66,Immigration Law,2023,Kottayam Distict Court,1993.0
1831,1.97,Personal Injury,2023,Kanjirapally Munsiff court,1202.0
1855,2.57,Immigration Law,2023,Chanagancherry Munsiff court,1216.0
1862,1.09,Criminal Law,2023,Chanagancherry Munsiff court,1587.0
1863,1.05,Immigration Law,2023,Kanjirapally Court,1538.0
1867,1.25,Family Law,2023,High Court,1722.0
1884,2.15,Corporate Law,2023,Kanjirapally Munsiff court,1824.0
1887,3.41,Personal Injury,2023,Kanjirapally Court,1258.0
1904,4.19,Family Law,2023,Chagancherry Court,1904.0
1927,2.65,Corporate Law,2023,Chagancherry Court,1091.0
1929,3.83,Family Law,2023,Kottayam Distict Court,1340.0
1930,4.8,Corporate Law,2023,Kanjirapally Court,1768.0
1932,2.59,Criminal Law,2023,Chanagancherry Munsiff court,1536.0
1941,3.78,Corporate Law,2023,High Court,1485.0
1949,2.55,Personal Injury,2023,Kanjirapally Court,1596.0
1951,1.56,Personal Injury,2023,Kanjirapally Munsiff court,1474.0
1957,2.86,Family Law,2023,Chanagancherry Munsiff court,1481.0
1965,4.7,Family Law,2023,Kanjirapally Munsiff court,1252.0
1982,3.13,Criminal Law,2023,High Court,1224.0
1985,3.25,Corporate Law,2023,Kanjirapally Munsiff court,1910.0
1994,2.56,Family Law,2023,Kottayam Distict Court,1053.0
2005,2.67,Criminal Law,2023,Kanjirapally Court,1574.0
2019,4.17,Personal Injury,2023,Kanjirapally Court,1653.0
2020,4.24,Personal Injury,2023,Chagancherry Court,1355.0
2032,1.96,Immigration Law,2023,Kanjirapally Munsiff court,1531.0
2040,1.39,Personal Injury,2023,Kanjirapally Court,1731.0
2046,2.52,Corporate Law,2023,Kanjirapally Munsiff court,1601.0
2050,1.63,Family Law,2023,High Court,1579.0
2051,1.38,Immigration Law,2023,Chagancherry Court,1421.0
2059,1.17,Corporate Law,2023,Kanjirapally Court,1814.0
2066,4.31,Corporate Law,2023,High Court,1064.0
2075,4.09,Family Law,2023,Chanagancherry Munsiff court,1388.0
2100,2.57,Personal Injury,2023,Kanjirapally Court,1267.0
2112,3.21,Criminal Law,2023,Chagancherry Court,1008.0
2131,2.63,Immigration Law,2023,Chagancherry Court,1753.0
2141,4.31,Immigration Law,2023,Kanjirapally Court,1160.0
2142,2.09,Family Law,2023,Chagancherry Court,1332.0
2149,4.91,Criminal Law,2023,Chagancherry Court,1357.0
2156,4.13,Corporate Law,2023,Kanjirapally Munsiff court,1797.0
2157,2.69,Personal Injury,2023,Kottayam Distict Court,1009.0
2185,1.43,Criminal Law,2023,Kanjirapally Munsiff court,1833.0
2189,1.76,Immigration Law,2023,High Court,1569.0
2198,1.73,Personal Injury,2023,Chagancherry Court,1659.0
2202,1.92,Criminal Law,2023,High Court,1552.0
2203,4.23,Corporate Law,2023,High Court,1732.0
2208,2.71,Immigration Law,2023,Chagancherry Court,1127.0
2209,1.93,Corporate Law,2023,Kanjirapally Munsiff court,1044.0
2224,4.36,Immigration Law,2023,Chagancherry Court,1937.0
2246,4.78,Personal Injury,2023,Kanjirapally Munsiff court,1910.0
2266,3.81,Personal Injury,2023,Kottayam Distict Court,1625.0
2278,2.55,Corporate Law,2023,Chagancherry Court,1441.0
2283,2.16,Family Law,2023,Kanjirapally Court,1467.0
2287,2.34,Criminal Law,2023,Kanjirapally Court,1806.0
2298,1.21,Personal Injury,2023,Kanjirapally Court,1645.0
2349,2.87,Corporate Law,2023,Chagancherry Court,1618.0
2360,2.85,Personal Injury,2023,Chagancherry Court,1897.0
2368,3.29,Family Law,2023,Chanagancherry Munsiff court,1471.0
2376,2.05,Personal Injury,2023,High Court,1717.0
2381,4.61,Immigration Law,2023,Kottayam Distict Court,1994.0
2384,4.12,Family Law,2023,Chagancherry Court,1435.0
2389,2.02,Personal Injury,2023,Chanagancherry Munsiff court,1767.0
2404,1.84,Personal Injury,2023,Kottayam Distict Court,1696.0
2417,1.76,Corporate Law,2023,Chanagancherry Munsiff court,1727.0
2420,2.99,Immigration Law,2023,Chagancherry Court,1641.0
2429,2.06,Immigration Law,2023,Chagancherry Court,1342.0
2431,2.65,Personal Injury,2023,Chagancherry Court,1768.0
2432,3.94,Corporate Law,2023,Chagancherry Court,1977.0
2451,4.0,Family Law,2023,Kanjirapally Munsiff court,1442.0
2455,2.87,Family Law,2023,Chanagancherry Munsiff court,1963.0
2457,3.43,Personal Injury,2023,Kanjirapally Court,1892.0
2468,3.2,Immigration Law,2023,Kanjirapally Court,1481.0
2477,1.7,Criminal Law,2023,Kottayam Distict Court,1459.0
2479,1.9,Immigration Law,2023,Kanjirapally Munsiff court,1888.0
2481,4.89,Personal Injury,2023,High Court,1192.0
2495,2.99,Corporate Law,2023,Kanjirapally Munsiff court,1448.0
2501,1.98,Corporate Law,2023,Kottayam Distict Court,1043.0
2526,3.09,Corporate Law,2023,Chagancherry Court,1155.0
2556,1.01,Personal Injury,2023,Kanjirapally Court,1330.0
2564,3.43,Criminal Law,2023,High Court,1104.0
2568,4.74,Corporate Law,2023,Kottayam Distict Court,1897.0
2574,2.33,Personal Injury,2023,High Court,1023.0
2576,1.77,Personal Injury,2023,Chagancherry Court,1968.0
2580,3.16,Corporate Law,2023,Chanagancherry Munsiff court,1908.0
2584,1.97,Immigration Law,2023,Kottayam Distict Court,1716.0
2588,3.73,Family Law,2023,Chagancherry Court,1817.0
2592,4.63,Criminal Law,2023,Kanjirapally Court,1703.0
2596,2.15,Immigration Law,2023,High Court,1812.0
2597,4.95,Personal Injury,2023,Chagancherry Court,1616.0
2604,3.45,Corporate Law,2023,Chagancherry Court,1893.0
2614,1.9,Family Law,2023,Kanjirapally Munsiff court,1359.0
2619,3.41,Immigration Law,2023,Chagancherry Court,1862.0
2623,3.61,Personal Injury,2023,Kottayam Distict Court,1209.0
2646,4.94,Criminal Law,2023,Kanjirapally Munsiff court,1456.0
2648,2.74,Corporate Law,2023,Kanjirapally Court,1153.0
2655,4.3,Family Law,2023,Chanagancherry Munsiff court,1686.0
2658,4.95,Criminal Law,2023,Kanjirapally Munsiff court,1229.0
2664,3.43,Criminal Law,2023,Kottayam Distict Court,1341.0
2676,3.83,Family Law,2023,High Court,1422.0
2686,2.72,Family Law,2023,High Court,1373.0
2688,2.92,Family Law,2023,Kanjirapally Court,1761.0
2697,4.46,Personal Injury,2023,Kottayam Distict Court,1582.0
2713,4.62,Criminal Law,2023,Chagancherry Court,1198.0
2716,1.77,Corporate Law,2023,Kottayam Distict Court,1249.0
2717,4.69,Corporate Law,2023,Kanjirapally Court,1981.0
2731,3.02,Personal Injury,2023,Chagancherry Court,1483.0
2739,1.33,Personal Injury,2023,High Court,1611.0
2746,2.92,Personal Injury,2023,Kanjirapally Munsiff court,1613.0
2759,3.01,Criminal Law,2023,High Court,1451.0
2771,1.64,Family Law,2023,High Court,1357.0
2784,1.55,Immigration Law,2023,Kanjirapally Munsiff court,1266.0
2787,1.03,Corporate Law,2023,Chanagancherry Munsiff court,1167.0
2793,2.02,Personal Injury,2023,Kanjirapally Munsiff court,1953.0
2809,1.2,Immigration Law,2023,Chagancherry Court,1395.0
2814,2.66,Personal Injury,2023,High Court,1594.0
2825,4.86,Corporate Law,2023,Chanagancherry Munsiff court,1143.0
2830,1.02,Personal Injury,2023,High Court,1005.0
2834,4.39,Criminal Law,2023,High Court,1876.0
2840,2.88,Family Law,2023,Chanagancherry Munsiff court,1286.0
2848,2.07,Immigration Law,2023,Kanjirapally Munsiff court,1156.0
2850,1.04,Corporate Law,2023,Kottayam Distict Court,1990.0
2870,3.93,Personal Injury,2023,Kanjirapally Munsiff court,1353.0
2878,2.75,Corporate Law,2023,Chanagancherry Munsiff court,1491.0
2889,3.95,Personal Injury,2023,Kanjirapally Court,1651.0
2894,4.47,Corporate Law,2023,Kanjirapally Court,1597.0
2905,2.24,Corporate Law,2023,Kottayam Distict Court,1903.0
2909,4.52,Personal Injury,2023,High Court,1842.0
2912,2.79,Criminal Law,2023,Kottayam Distict Court,1488.0
2930,4.81,Criminal Law,2023,Kanjirapally Court,1022.0
2937,1.17,Corporate Law,2023,Chanagancherry Munsiff court,1439.0
2952,4.17,Family Law,2023,Chanagancherry Munsiff court,1230.0
2957,3.6,Family Law,2023,Chagancherry Court,1794.0
2959,4.03,Family Law,2023,Kottayam Distict Court,1510.0
2961,3.53,Family Law,2023,Kottayam Distict Court,1020.0
2975,2.18,Immigration Law,2023,High Court,1455.0
2978,3.75,Immigration Law,2023,Chagancherry Court,1749.0
2998,2.6,Corporate Law,2023,High Court,1753.0
2999,2.16,Family Law,2023,Chanagancherry Munsiff court,1841.0
3016,3.34,Family Law,2023,Kottayam Distict Court,1287.0
3017,3.64,Immigration Law,2023,High Court,1148.0
3021,1.12,Corporate Law,2023,Chanagancherry Munsiff court,1205.0
3044,4.73,Criminal Law,2023,Chagancherry Court,1149.0
3049,4.72,Personal Injury,2023,Kanjirapally Munsiff court,1443.0
3075,4.17,Personal Injury,2023,Kanjirapally Court,1927.0
3086,2.14,Personal Injury,2023,High Court,1255.0
3088,4.0,Family Law,2023,Kanjirapally Munsiff court,1178.0
3094,1.65,Personal Injury,2023,Kanjirapally Court,1426.0
3126,2.47,Family Law,2023,High Court,1854.0
3139,3.52,Corporate Law,2023,Kottayam Distict Court,1173.0
3156,3.92,Immigration Law,2023,Chagancherry Court,1043.0
3158,2.36,Corporate Law,2023,Kanjirapally Munsiff court,1350.0
3159,1.87,Family Law,2023,Kottayam Distict Court,1811.0
3165,2.26,Family Law,2023,Kanjirapally Munsiff court,1514.0
3166,3.8,Criminal Law,2023,Chagancherry Court,1313.0
3185,1.9,Criminal Law,2023,Kanjirapally Court,1464.0
3188,3.44,Immigration Law,2023,High Court,1763.0
3189,1.38,Family Law,2023,Chanagancherry Munsiff court,1299.0
3192,1.5,Immigration Law,2023,Kanjirapally Court,1477.0
3193,3.43,Immigration Law,2023,Kanjirapally Munsiff court,1796.0
3199,4.44,Immigration Law,2023,Kottayam Distict Court,1677.0
3200,4.24,Family Law,2023,Kanjirapally Court,1404.0
3208,1.92,Criminal Law,2023,Kottayam Distict Court,1290.0
3228,2.48,Immigration Law,2023,Chanagancherry Munsiff court,1695.0
3231,2.39,Corporate Law,2023,Kanjirapally Court,1608.0
3246,4.53,Family Law,2023,Kottayam Distict Court,1132.0
3247,1.08,Immigration Law,2023,Kanjirapally Munsiff court,1716.0
3261,2.81,Corporate Law,2023,Chagancherry Court,1417.0
3262,3.78,Criminal Law,2023,Chagancherry Court,1044.0
3263,3.91,Family Law,2023,Kanjirapally Court,1445.0
3271,1.8,Corporate Law,2023,Chanagancherry Munsiff court,1368.0
3291,1.0,Criminal Law,2023,Chagancherry Court,1453.0
3298,1.34,Corporate Law,2023,Chanagancherry Munsiff court,1146.0
3300,4.92,Criminal Law,2023,Kottayam Distict Court,1325.0
3304,4.66,Family Law,2023,High Court,1831.0
3319,2.29,Family Law,2023,High Court,1154.0
3324,4.88,Immigration Law,2023,Chanagancherry Munsiff court,1941.0
3325,3.49,Corporate Law,2023,Kanjirapally Munsiff court,1576.0
3402,3.59,Family Law,2023,Kottayam Distict Court,1148.0
3411,3.74,Immigration Law,2023,Chanagancherry Munsiff court,1677.0
3413,2.2,Corporate Law,2023,High Court,1401.0
3415,1.57,Personal Injury,2023,Kanjirapally Munsiff court,1384.0
3420,4.4,Immigration Law,2023,High Court,1302.0
3428,2.69,Personal Injury,2023,Kottayam Distict Court,1498.0
3435,1.84,Criminal Law,2023,High Court,1812.0
3446,4.74,Corporate Law,2023,High Court,1007.0
3447,3.55,Family Law,2023,Kanjirapally Munsiff court,1831.0
3448,3.37,Personal Injury,2023,Kanjirapally Court,1324.0
3462,3.93,Family Law,2023,Kanjirapally Court,1909.0
3475,2.99,Family Law,2023,High Court,1483.0
3478,2.63,Family Law,2023,Chagancherry Court,1652.0
3483,1.13,Criminal Law,2023,Kottayam Distict Court,1329.0
3489,2.56,Family Law,2023,Chagancherry Court,1648.0
3501,4.34,Corporate Law,2023,Chanagancherry Munsiff court,1260.0
3502,3.15,Criminal Law,2023,Chagancherry Court,1055.0
3505,3.92,Family Law,2023,Kottayam Distict Court,1787.0
3507,2.76,Criminal Law,2023,Chagancherry Court,1028.0
3512,4.88,Criminal Law,2023,Kottayam Distict Court,1827.0
3518,1.61,Criminal Law,2023,Kottayam Distict Court,1689.0
3537,1.68,Family Law,2023,Chanagancherry Munsiff court,1297.0
3540,4.4,Family Law,2023,Chanagancherry Munsiff court,1912.0
3548,1.25,Immigration Law,2023,Chagancherry Court,1407.0
3563,2.32,Corporate Law,2023,Kottayam Distict Court,1773.0
3578,4.26,Personal Injury,2023,Kanjirapally Court,1926.0
3585,4.17,Criminal Law,2023,Kanjirapally Court,1240.0
3594,3.92,Family Law,2023,Kottayam Distict Court,1891.0
3608,1.92,Personal Injury,2023,Chagancherry Court,1676.0
3620,1.62,Personal Injury,2023,High Court,1416.0
3632,3.58,Personal Injury,2023,Chanagancherry Munsiff court,1894.0
3633,3.42,Personal Injury,2023,Kottayam Distict Court,1103.0
3642,1.61,Family Law,2023,Chanagancherry Munsiff court,1617.0
3654,3.85,Corporate Law,2023,Kottayam Distict Court,1102.0
3660,3.58,Criminal Law,2023,Kottayam Distict Court,1261.0
3664,3.66,Criminal Law,2023,Kottayam Distict Court,1512.0
3680,4.88,Immigration Law,2023,High Court,1119.0
3685,2.64,Personal Injury,2023,Kottayam Distict Court,1309.0
3691,1.58,Immigration Law,2023,Kanjirapally Court,1841.0
3696,2.33,Corporate Law,2023,Kanjirapally Court,1052.0
3708,3.83,Criminal Law,2023,Chanagancherry Munsiff court,1776.0
3710,4.93,Corporate Law,2023,High Court,1006.0
3713,1.77,Corporate Law,2023,Kanjirapally Munsiff court,1917.0
3724,2.34,Family Law,2023,Kanjirapally Munsiff court,1083.0
3725,1.5,Personal Injury,2023,Kanjirapally Court,1383.0
3732,4.22,Family Law,2023,Chanagancherry Munsiff court,1527.0
